broad_indices,sector_indices,strategy_indices,thematic_indices,fixed_income_indices
NIFTY 50,NIFTY BANK,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY COMMODITIES,NIFTY 8-13 YR G-SEC
NIFTY NEXT 50,NIFTY AUTO,NIFTY GROWTH SECTORS 15,NIFTY INDIA CONSUMPTION,NIFTY 10 YR BENCHMARK G-SEC
NIFTY 100,NIFTY FINANCIAL SERVICES,NIFTY100 QUALITY 30,NIFTY CPSE,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)
NIFTY 200,NIFTY FINANCIAL SERVICES 25/50,NIFTY50 VALUE 20,NIFTY ENERGY,NIFTY 4-8 YR G-SEC INDEX
NIFTY 500,NIFTY FMCG,NIFTY50 TR 2X LEVERAGE,NIFTY INFRASTRUCTURE,NIFTY 11-15 YR G-SEC INDEX
NIFTY MIDCAP 50,NIFTY IT,NIFTY50 PR 2X LEVERAGE,NIFTY100 LIQUID 15,NIFTY 15 YR AND ABOVE G-SEC INDEX
NIFTY MIDCAP 100,NIFTY MEDIA,NIFTY50 TR 1X INVERSE,NIFTY MIDCAP LIQUID 15,NIFTY COMPOSITE G-SEC INDEX
NIFTY SMALLCAP 100,NIFTY METAL,NIFTY50 PR 1X INVERSE,NIFTY MNC,
INDIA VIX,NIFTY PHARMA,NIFTY50 DIVIDEND POINTS,NIFTY PSE,
NIFTY MIDCAP 150,NIFTY PSU BANK,NIFTY ALPHA 50,NIFTY SERVICES SECTOR,
NIFTY SMALLCAP 50,NIFTY PRIVATE BANK,NIFTY50 EQUAL WEIGHT,NIFTY100 ESG SECTOR LEADERS,
NIFTY SMALLCAP 250,NIFTY REALTY,NIFTY100 EQUAL WEIGHT,NIFTY INDIA DIGITAL,
NIFTY MIDSMALLCAP 400,NIFTY HEALTHCARE INDEX,NIFTY100 LOW VOLATILITY 30,NIFTY100 ESG,
NIFTY500 MULTICAP 50:25:25,NIFTY CONSUMER DURABLES,NIFTY200 QUALITY 30,NIFTY INDIA MANUFACTURING,
NIFTY LARGEMIDCAP 250,NIFTY OIL & GAS,NIFTY ALPHA LOW-VOLATILITY 30,,
NIFTY MIDCAP SELECT,,NIFTY200 MOMENTUM 30,,
NIFTY TOTAL MARKET,,NIFTY MIDCAP150 QUALITY 50,,
NIFTY MICROCAP 250,,,,
